City/Town,Lat,Long,Date,Confirmed,,,,,,,,,,,,,
Krusevo,41.3688889,21.2488899,2020-03-28,0,,,,,,,,,,,,,
Valandovo,41.31744,22.5600204,2020-03-28,0,,,,,,,,,,,,,
Gradsko,41.5774994,21.9427795,2020-03-28,0,,,,,,,,,,,,,
Dojran,41.18647,22.7203007,2020-03-28,0,,,,,,,,,,,,,
Skopje,41.99646,21.4314098,2020-03-29,3,,,,,,,,,,,,,
Bitola,41.0314293,21.3347397,2020-03-29,0,,,,,,,,,,,,,
Kumanovo,42.1322212,21.7144394,2020-03-29,0,,,,,,,,,,,,,
Prilep,41.3451385,21.5550404,2020-03-29,0,,,,,,,,,,,,,
Tetovo,42.0097313,20.97155,2020-03-29,1,,,,,,,,,,,,,
Veles,41.7155609,21.7755604,2020-03-29,3,,,,,,,,,,,,,
Ohrid,41.1172218,20.8019409,2020-03-29,0,,,,,,,,,,,,,
Gostivar,41.7960091,20.9081898,2020-03-29,0,,,,,,,,,,,,,
Shtip,41.7458305,22.1958294,2020-03-29,6,,,,,,,,,,,,,
Strumica,41.4375,22.6433296,2020-03-29,1,,,,,,,,,,,,,
Kavadarci,41.4330597,22.01194,2020-03-29,0,,,,,,,,,,,,,
Struga,41.17799,20.6778393,2020-03-29,2,,,,,,,,,,,,,
Kochani,41.9163895,22.4127808,2020-03-29,0,,,,,,,,,,,,,
Ki?evo,41.5126686,20.9588604,2020-03-29,0,,,,,,,,,,,,,
Radovis,41.6383286,22.4647198,2020-03-29,0,,,,,,,,,,,,,
Kriva Palanka,42.2008781,22.3324394,2020-03-29,0,,,,,,,,,,,,,
Gevgelija ,41.1416588,22.5014095,2020-03-29,1,,,,,,,,,,,,,
Negotino,41.4845581,22.0905609,2020-03-29,0,,,,,,,,,,,,,
Resen,41.0893402,21.0109196,2020-03-29,0,,,,,,,,,,,,,
Delcevo ,41.9672203,22.7694397,2020-03-29,0,,,,,,,,,,,,,
Debar,41.5244408,20.52421,2020-03-29,1,,,,,,,,,,,,,
Vinica,41.8827782,22.5091705,2020-03-29,0,,,,,,,,,,,,,
Berovo,41.7030602,22.8577805,2020-03-29,0,,,,,,,,,,,,,
Sveti Nikole,41.8695602,21.9527397,2020-03-29,0,,,,,,,,,,,,,
Probishtip,42.0030594,22.1786098,2020-03-29,0,,,,,,,,,,,,,
Kratovo,42.0783806,22.1807003,2020-03-29,0,,,,,,,,,,,,,
Bogdanci,41.2030602,22.5755596,2020-03-29,0,,,,,,,,,,,,,
Demir Kapija,41.4061317,22.2463093,2020-03-29,0,,,,,,,,,,,,,
Makedonski Brod ,41.5136108,21.2152805,2020-03-29,0,,,,,,,,,,,,,
Krusevo,41.3688889,21.2488899,2020-03-29,0,,,,,,,,,,,,,
Valandovo,41.31744,22.5600204,2020-03-29,0,,,,,,,,,,,,,
Gradsko,41.5774994,21.9427795,2020-03-29,0,,,,,,,,,,,,,
Dojran,41.18647,22.7203007,2020-03-29,0,,,,,,,,,,,,,
Skopje,41.99646,21.4314098,2020-03-30,19,,,,,,,,,,,,,
Bitola,41.0314293,21.3347397,2020-03-30,0,,,,,,,,,,,,,
Kumanovo,42.1322212,21.7144394,2020-03-30,3,,,,,,,,,,,,,
Prilep,41.3451385,21.5550404,2020-03-30,1,,,,,,,,,,,,,
Tetovo,42.0097313,20.97155,2020-03-30,1,,,,,,,,,,,,,
Veles,41.7155609,21.7755604,2020-03-30,0,,,,,,,,,,,,,
Ohrid,41.1172218,20.8019409,2020-03-30,0,,,,,,,,,,,,,
Gostivar,41.7960091,20.9081898,2020-03-30,0,,,,,,,,,,,,,
Shtip,41.7458305,22.1958294,2020-03-30,0,,,,,,,,,,,,,
Strumica,41.4375,22.6433296,2020-03-30,0,,,,,,,,,,,,,
Kavadarci,41.4330597,22.01194,2020-03-30,0,,,,,,,,,,,,,
Struga,41.17799,20.6778393,2020-03-30,0,,,,,,,,,,,,,
Kochani,41.9163895,22.4127808,2020-03-30,0,,,,,,,,,,,,,
Ki?evo,41.5126686,20.9588604,2020-03-30,0,,,,,,,,,,,,,
Radovis,41.6383286,22.4647198,2020-03-30,0,,,,,,,,,,,,,
Kriva Palanka,42.2008781,22.3324394,2020-03-30,1,,,,,,,,,,,,,
Gevgelija ,41.1416588,22.5014095,2020-03-30,0,,,,,,,,,,,,,
Negotino,41.4845581,22.0905609,2020-03-30,0,,,,,,,,,,,,,
Resen,41.0893402,21.0109196,2020-03-30,0,,,,,,,,,,,,,
Delcevo ,41.9672203,22.7694397,2020-03-30,0,,,,,,,,,,,,,
Debar,41.5244408,20.52421,2020-03-30,1,,,,,,,,,,,,,
Vinica,41.8827782,22.5091705,2020-03-30,0,,,,,,,,,,,,,
Berovo,41.7030602,22.8577805,2020-03-30,0,,,,,,,,,,,,,
Sveti Nikole,41.8695602,21.9527397,2020-03-30,0,,,,,,,,,,,,,
Probishtip,42.0030594,22.1786098,2020-03-30,0,,,,,,,,,,,,,
Kratovo,42.0783806,22.1807003,2020-03-30,0,,,,,,,,,,,,,
Bogdanci,41.2030602,22.5755596,2020-03-30,0,,,,,,,,,,,,,
Demir Kapija,41.4061317,22.2463093,2020-03-30,0,,,,,,,,,,,,,
Makedonski Brod ,41.5136108,21.2152805,2020-03-30,0,,,,,,,,,,,,,
Krusevo,41.3688889,21.2488899,2020-03-30,0,,,,,,,,,,,,,
Valandovo,41.31744,22.5600204,2020-03-30,0,,,,,,,,,,,,,
Gradsko,41.5774994,21.9427795,2020-03-30,0,,,,,,,,,,,,,
Dojran,41.18647,22.7203007,2020-03-30,0,,,,,,,,,,,,,
Skopje,41.99646,21.4314098,2020-03-31,12,,,,,,,,,,,,,
Bitola,41.0314293,21.3347397,2020-03-31,3,,,,,,,,,,,,,
Kumanovo,42.1322212,21.7144394,2020-03-31,23,,,,,,,,,,,,,
Prilep,41.3451385,21.5550404,2020-03-31,1,,,,,,,,,,,,,
Tetovo,42.0097313,20.97155,2020-03-31,2,,,,,,,,,,,,,
Veles,41.7155609,21.7755604,2020-03-31,0,,,,,,,,,,,,,
Ohrid,41.1172218,20.8019409,2020-03-31,0,,,,,,,,,,,,,
Gostivar,41.7960091,20.9081898,2020-03-31,0,,,,,,,,,,,,,
Shtip,41.7458305,22.1958294,2020-03-31,1,,,,,,,,,,,,,
Strumica,41.4375,22.6433296,2020-03-31,0,,,,,,,,,,,,,
Kavadarci,41.4330597,22.01194,2020-03-31,0,,,,,,,,,,,,,
Struga,41.17799,20.6778393,2020-03-31,2,,,,,,,,,,,,,
Kochani,41.9163895,22.4127808,2020-03-31,0,,,,,,,,,,,,,
Ki?evo,41.5126686,20.9588604,2020-03-31,0,,,,,,,,,,,,,
Radovis,41.6383286,22.4647198,2020-03-31,0,,,,,,,,,,,,,
Kriva Palanka,42.2008781,22.3324394,2020-03-31,0,,,,,,,,,,,,,
Gevgelija ,41.1416588,22.5014095,2020-03-31,0,,,,,,,,,,,,,
Negotino,41.4845581,22.0905609,2020-03-31,0,,,,,,,,,,,,,
Resen,41.0893402,21.0109196,2020-03-31,0,,,,,,,,,,,,,
Delcevo ,41.9672203,22.7694397,2020-03-31,0,,,,,,,,,,,,,
Debar,41.5244408,20.52421,2020-03-31,0,,,,,,,,,,,,,
Vinica,41.8827782,22.5091705,2020-03-31,0,,,,,,,,,,,,,
Berovo,41.7030602,22.8577805,2020-03-31,0,,,,,,,,,,,,,
Sveti Nikole,41.8695602,21.9527397,2020-03-31,0,,,,,,,,,,,,,
Probishtip,42.0030594,22.1786098,2020-03-31,0,,,,,,,,,,,,,
Kratovo,42.0783806,22.1807003,2020-03-31,0,,,,,,,,,,,,,
Bogdanci,41.2030602,22.5755596,2020-03-31,0,,,,,,,,,,,,,
Demir Kapija,41.4061317,22.2463093,2020-03-31,0,,,,,,,,,,,,,
Makedonski Brod ,41.5136108,21.2152805,2020-03-31,0,,,,,,,,,,,,,
Krusevo,41.3688889,21.2488899,2020-03-31,0,,,,,,,,,,,,,
Valandovo,41.31744,22.5600204,2020-03-31,0,,,,,,,,,,,,,
Gradsko,41.5774994,21.9427795,2020-03-31,0,,,,,,,,,,,,,
Dojran,41.18647,22.7203007,2020-03-31,0,,,,,,,,,,,,,
Skopje,41.99646,21.4314098,2020-04-01,8,,,,,,,,,,,,,
Bitola,41.0314293,21.3347397,2020-04-01,0,,,,,,,,,,,,,
Kumanovo,42.1322212,21.7144394,2020-04-01,7,,,,,,,,,,,,,
Prilep,41.3451385,21.5550404,2020-04-01,2,,,,,,,,,,,,,
Tetovo,42.0097313,20.97155,2020-04-01,3,,,,,,,,,,,,,
Veles,41.7155609,21.7755604,2020-04-01,0,,,,,,,,,,,,,
Ohrid,41.1172218,20.8019409,2020-04-01,0,,,,,,,,,,,,,
Gostivar,41.7960091,20.9081898,2020-04-01,0,,,,,,,,,,,,,
Shtip,41.7458305,22.1958294,2020-04-01,1,,,,,,,,,,,,,
Strumica,41.4375,22.6433296,2020-04-01,0,,,,,,,,,,,,,
Kavadarci,41.4330597,22.01194,2020-04-01,0,,,,,,,,,,,,,
Struga,41.17799,20.6778393,2020-04-01,2,,,,,,,,,,,,,
Kochani,41.9163895,22.4127808,2020-04-01,1,,,,,,,,,,,,,
Ki?evo,41.5126686,20.9588604,2020-04-01,0,,,,,,,,,,,,,
Radovis,41.6383286,22.4647198,2020-04-01,0,,,,,,,,,,,,,
Kriva Palanka,42.2008781,22.3324394,2020-04-01,0,,,,,,,,,,,,,
Gevgelija ,41.1416588,22.5014095,2020-04-01,1,,,,,,,,,,,,,
Negotino,41.4845581,22.0905609,2020-04-01,0,,,,,,,,,,,,,
Resen,41.0893402,21.0109196,2020-04-01,0,,,,,,,,,,,,,
Delcevo ,41.9672203,22.7694397,2020-04-01,0,,,,,,,,,,,,,
Debar,41.5244408,20.52421,2020-04-01,0,,,,,,,,,,,,,
Vinica,41.8827782,22.5091705,2020-04-01,0,,,,,,,,,,,,,
Berovo,41.7030602,22.8577805,2020-04-01,0,,,,,,,,,,,,,
Sveti Nikole,41.8695602,21.9527397,2020-04-01,0,,,,,,,,,,,,,
Probishtip,42.0030594,22.1786098,2020-04-01,0,,,,,,,,,,,,,
Kratovo,42.0783806,22.1807003,2020-04-01,0,,,,,,,,,,,,,
Bogdanci,41.2030602,22.5755596,2020-04-01,0,,,,,,,,,,,,,
Demir Kapija,41.4061317,22.2463093,2020-04-01,0,,,,,,,,,,,,,
Makedonski Brod ,41.5136108,21.2152805,2020-04-01,0,,,,,,,,,,,,,
Krusevo,41.3688889,21.2488899,2020-04-01,0,,,,,,,,,,,,,
Valandovo,41.31744,22.5600204,2020-04-01,0,,,,,,,,,,,,,
Gradsko,41.5774994,21.9427795,2020-04-01,0,,,,,,,,,,,,,
Dojran,41.18647,22.7203007,2020-04-01,0,,,,,,,,,,,,,
Skopje,41.99646,21.4314098,2020-04-02,12,,,,,,,,,,,,,
Bitola,41.0314293,21.3347397,2020-04-02,0,,,,,,,,,,,,,
Kumanovo,42.1322212,21.7144394,2020-04-02,8,,,,,,,,,,,,,
Prilep,41.3451385,21.5550404,2020-04-02,9,,,,,,,,,,,,,
Tetovo,42.0097313,20.97155,2020-04-02,0,,,,,,,,,,,,,
Veles,41.7155609,21.7755604,2020-04-02,0,,,,,,,,,,,,,
Ohrid,41.1172218,20.8019409,2020-04-02,0,,,,,,,,,,,,,
Gostivar,41.7960091,20.9081898,2020-04-02,0,,,,,,,,,,,,,
Shtip,41.7458305,22.1958294,2020-04-02,0,,,,,,,,,,,,,
Strumica,41.4375,22.6433296,2020-04-02,0,,,,,,,,,,,,,
Kavadarci,41.4330597,22.01194,2020-04-02,0,,,,,,,,,,,,,
Struga,41.17799,20.6778393,2020-04-02,0,,,,,,,,,,,,,
Kochani,41.9163895,22.4127808,2020-04-02,0,,,,,,,,,,,,,
Ki?evo,41.5126686,20.9588604,2020-04-02,0,,,,,,,,,,,,,
Radovis,41.6383286,22.4647198,2020-04-02,0,,,,,,,,,,,,,
Kriva Palanka,42.2008781,22.3324394,2020-04-02,1,,,,,,,,,,,,,
Gevgelija ,41.1416588,22.5014095,2020-04-02,0,,,,,,,,,,,,,
Negotino,41.4845581,22.0905609,2020-04-02,0,,,,,,,,,,,,,
Resen,41.0893402,21.0109196,2020-04-02,0,,,,,,,,,,,,,
Delcevo ,41.9672203,22.7694397,2020-04-02,0,,,,,,,,,,,,,
Debar,41.5244408,20.52421,2020-04-02,0,,,,,,,,,,,,,
Vinica,41.8827782,22.5091705,2020-04-02,0,,,,,,,,,,,,,
Berovo,41.7030602,22.8577805,2020-04-02,0,,,,,,,,,,,,,
Sveti Nikole,41.8695602,21.9527397,2020-04-02,0,,,,,,,,,,,,,
Probishtip,42.0030594,22.1786098,2020-04-02,0,,,,,,,,,,,,,
Kratovo,42.0783806,22.1807003,2020-04-02,0,,,,,,,,,,,,,
Bogdanci,41.2030602,22.5755596,2020-04-02,0,,,,,,,,,,,,,
Demir Kapija,41.4061317,22.2463093,2020-04-02,0,,,,,,,,,,,,,
Makedonski Brod ,41.5136108,21.2152805,2020-04-02,0,,,,,,,,,,,,,
Krusevo,41.3688889,21.2488899,2020-04-02,0,,,,,,,,,,,,,
Valandovo,41.31744,22.5600204,2020-04-02,0,,,,,,,,,,,,,
Gradsko,41.5774994,21.9427795,2020-04-02,0,,,,,,,,,,,,,
Dojran,41.18647,22.7203007,2020-04-02,0,,,,,,,,,,,,,
Skopje,41.99646,21.4314098,2020-04-03,13,,,,,,,,,,,,,
Bitola,41.0314293,21.3347397,2020-04-03,0,,,,,,,,,,,,,
Kumanovo,42.1322212,21.7144394,2020-04-03,23,,,,,,,,,,,,,
Prilep,41.3451385,21.5550404,2020-04-03,1,,,,,,,,,,,,,
Tetovo,42.0097313,20.97155,2020-04-03,2,,,,,,,,,,,,,
Veles,41.7155609,21.7755604,2020-04-03,2,,,,,,,,,,,,,
Ohrid,41.1172218,20.8019409,2020-04-03,0,,,,,,,,,,,,,
Gostivar,41.7960091,20.9081898,2020-04-03,1,,,,,,,,,,,,,
Shtip,41.7458305,22.1958294,2020-04-03,0,,,,,,,,,,,,,
Strumica,41.4375,22.6433296,2020-04-03,0,,,,,,,,,,,,,
Kavadarci,41.4330597,22.01194,2020-04-03,0,,,,,,,,,,,,,
Struga,41.17799,20.6778393,2020-04-03,0,,,,,,,,,,,,,
Kochani,41.9163895,22.4127808,2020-04-03,0,,,,,,,,,,,,,
Ki?evo,41.5126686,20.9588604,2020-04-03,0,,,,,,,,,,,,,
Radovis,41.6383286,22.4647198,2020-04-03,0,,,,,,,,,,,,,
Kriva Palanka,42.2008781,22.3324394,2020-04-03,0,,,,,,,,,,,,,
Gevgelija ,41.1416588,22.5014095,2020-04-03,2,,,,,,,,,,,,,
Negotino,41.4845581,22.0905609,2020-04-03,0,,,,,,,,,,,,,
Resen,41.0893402,21.0109196,2020-04-03,0,,,,,,,,,,,,,
Delcevo ,41.9672203,22.7694397,2020-04-03,0,,,,,,,,,,,,,
Debar,41.5244408,20.52421,2020-04-03,2,,,,,,,,,,,,,
Vinica,41.8827782,22.5091705,2020-04-03,0,,,,,,,,,,,,,
Berovo,41.7030602,22.8577805,2020-04-03,0,,,,,,,,,,,,,
Sveti Nikole,41.8695602,21.9527397,2020-04-03,0,,,,,,,,,,,,,
Probishtip,42.0030594,22.1786098,2020-04-03,0,,,,,,,,,,,,,
Kratovo,42.0783806,22.1807003,2020-04-03,0,,,,,,,,,,,,,
Bogdanci,41.2030602,22.5755596,2020-04-03,0,,,,,,,,,,,,,
Demir Kapija,41.4061317,22.2463093,2020-04-03,0,,,,,,,,,,,,,
Makedonski Brod ,41.5136108,21.2152805,2020-04-03,0,,,,,,,,,,,,,
Krusevo,41.3688889,21.2488899,2020-04-03,0,,,,,,,,,,,,,
Valandovo,41.31744,22.5600204,2020-04-03,0,,,,,,,,,,,,,
Gradsko,41.5774994,21.9427795,2020-04-03,0,,,,,,,,,,,,,
Dojran,41.18647,22.7203007,2020-04-03,0,,,,,,,,,,,,,
Skopje,41.99646,21.4314098,2020-04-04,13,,,,,,,,,,,,,
Bitola,41.0314293,21.3347397,2020-04-04,0,,,,,,,,,,,,,
Kumanovo,42.1322212,21.7144394,2020-04-04,8,,,,,,,,,,,,,
Prilep,41.3451385,21.5550404,2020-04-04,2,,,,,,,,,,,,,
Tetovo,42.0097313,20.97155,2020-04-04,2,,,,,,,,,,,,,
Veles,41.7155609,21.7755604,2020-04-04,1,,,,,,,,,,,,,
Ohrid,41.1172218,20.8019409,2020-04-04,0,,,,,,,,,,,,,
Gostivar,41.7960091,20.9081898,2020-04-04,2,,,,,,,,,,,,,
Shtip,41.7458305,22.1958294,2020-04-04,5,,,,,,,,,,,,,
Strumica,41.4375,22.6433296,2020-04-04,0,,,,,,,,,,,,,
Kavadarci,41.4330597,22.01194,2020-04-04,0,,,,,,,,,,,,,
Struga,41.17799,20.6778393,2020-04-04,14,,,,,,,,,,,,,
Kochani,41.9163895,22.4127808,2020-04-04,6,,,,,,,,,,,,,
Ki?evo,41.5126686,20.9588604,2020-04-04,0,,,,,,,,,,,,,
Radovis,41.6383286,22.4647198,2020-04-04,0,,,,,,,,,,,,,
Kriva Palanka,42.2008781,22.3324394,2020-04-04,0,,,,,,,,,,,,,
Gevgelija ,41.1416588,22.5014095,2020-04-04,0,,,,,,,,,,,,,
Negotino,41.4845581,22.0905609,2020-04-04,0,,,,,,,,,,,,,
Resen,41.0893402,21.0109196,2020-04-04,0,,,,,,,,,,,,,
Delcevo ,41.9672203,22.7694397,2020-04-04,0,,,,,,,,,,,,,
Debar,41.5244408,20.52421,2020-04-04,0,,,,,,,,,,,,,
Vinica,41.8827782,22.5091705,2020-04-04,0,,,,,,,,,,,,,
Berovo,41.7030602,22.8577805,2020-04-04,0,,,,,,,,,,,,,
Sveti Nikole,41.8695602,21.9527397,2020-04-04,0,,,,,,,,,,,,,
Probishtip,42.0030594,22.1786098,2020-04-04,0,,,,,,,,,,,,,
Kratovo,42.0783806,22.1807003,2020-04-04,0,,,,,,,,,,,,,
Bogdanci,41.2030602,22.5755596,2020-04-04,0,,,,,,,,,,,,,
Demir Kapija,41.4061317,22.2463093,2020-04-04,0,,,,,,,,,,,,,
Makedonski Brod ,41.5136108,21.2152805,2020-04-04,0,,,,,,,,,,,,,
Krusevo,41.3688889,21.2488899,2020-04-04,0,,,,,,,,,,,,,
Valandovo,41.31744,22.5600204,2020-04-04,0,,,,,,,,,,,,,
Gradsko,41.5774994,21.9427795,2020-04-04,0,,,,,,,,,,,,,
Dojran,41.18647,22.7203007,2020-04-04,0,,,,,,,,,,,,,
Skopje,41.99646,21.4314098,2020-04-05,14,,,,,,,,,,,,,
Bitola,41.0314293,21.3347397,2020-04-05,2,,,,,,,,,,,,,
Kumanovo,42.1322212,21.7144394,2020-04-05,21,,,,,,,,,,,,,
Prilep,41.3451385,21.5550404,2020-04-05,9,,,,,,,,,,,,,
Tetovo,42.0097313,20.97155,2020-04-05,12,,,,,,,,,,,,,
Veles,41.7155609,21.7755604,2020-04-05,1,,,,,,,,,,,,,
Ohrid,41.1172218,20.8019409,2020-04-05,0,,,,,,,,,,,,,
Gostivar,41.7960091,20.9081898,2020-04-05,1,,,,,,,,,,,,,
Shtip,41.7458305,22.1958294,2020-04-05,1,,,,,,,,,,,,,
Strumica,41.4375,22.6433296,2020-04-05,0,,,,,,,,,,,,,
Kavadarci,41.4330597,22.01194,2020-04-05,0,,,,,,,,,,,,,
Struga,41.17799,20.6778393,2020-04-05,1,,,,,,,,,,,,,
Kochani,41.9163895,22.4127808,2020-04-05,7,,,,,,,,,,,,,
Ki?evo,41.5126686,20.9588604,2020-04-05,0,,,,,,,,,,,,,
Radovis,41.6383286,22.4647198,2020-04-05,1,,,,,,,,,,,,,
Kriva Palanka,42.2008781,22.3324394,2020-04-05,0,,,,,,,,,,,,,
Gevgelija ,41.1416588,22.5014095,2020-04-05,0,,,,,,,,,,,,,
Negotino,41.4845581,22.0905609,2020-04-05,0,,,,,,,,,,,,,
Resen,41.0893402,21.0109196,2020-04-05,0,,,,,,,,,,,,,
Delcevo ,41.9672203,22.7694397,2020-04-05,0,,,,,,,,,,,,,
Debar,41.5244408,20.52421,2020-04-05,0,,,,,,,,,,,,,
Vinica,41.8827782,22.5091705,2020-04-05,0,,,,,,,,,,,,,
Berovo,41.7030602,22.8577805,2020-04-05,0,,,,,,,,,,,,,
Sveti Nikole,41.8695602,21.9527397,2020-04-05,0,,,,,,,,,,,,,
Probishtip,42.0030594,22.1786098,2020-04-05,0,,,,,,,,,,,,,
Kratovo,42.0783806,22.1807003,2020-04-05,0,,,,,,,,,,,,,
Bogdanci,41.2030602,22.5755596,2020-04-05,0,,,,,,,,,,,,,
Demir Kapija,41.4061317,22.2463093,2020-04-05,0,,,,,,,,,,,,,
Makedonski Brod ,41.5136108,21.2152805,2020-04-05,0,,,,,,,,,,,,,
Krusevo,41.3688889,21.2488899,2020-04-05,2,,,,,,,,,,,,,
Valandovo,41.31744,22.5600204,2020-04-05,0,,,,,,,,,,,,,
Gradsko,41.5774994,21.9427795,2020-04-05,0,,,,,,,,,,,,,
Dojran,41.18647,22.7203007,2020-04-05,0,,,,,,,,,,,,,
